Results.index,results_id,Counter,Item.number,Polarity,ScaleType,Sample,Adverb,Subject,value,responseTime,Planet,Degree,Rank,ComputedRank,p0,p1,a,b,Class,Adj,ScaleType2,minDeg,maxDeg
10,418463,6,122,Neg,Min2,0,absolutelyAdj,Subject6,76,6852,Zegnir,0.095,11,11,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,127,Neg,Min2,5,absolutelyAdj,Subject6,100,2328,Chalea,0,1,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,141,Neg,Min2,19,absolutelyAdj,Subject6,100,1255,Beta Ovis 5,0,5,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,138,Neg,Min2,16,absolutelyAdj,Subject6,60,3043,Alpha Octopodis 2,0.2815,17,17,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,123,Neg,Min2,1,absolutelyAdj,Subject6,36,3146,Shihaen,0.3722,19,19,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,135,Neg,Min2,13,absolutelyAdj,Subject6,100,1816,Hiphides,0,7,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,136,Neg,Min2,14,absolutelyAdj,Subject6,73,1840,Alpha Nivis 2,0.1565,13,13,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,129,Neg,Min2,7,absolutelyAdj,Subject6,100,2458,Brilia 6135,0,3,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,134,Neg,Min2,12,absolutelyAdj,Subject6,55,1798,Aolia,0.2152,15,15,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,71,Neg,Relative1,9,Adj,Subject6,4,9708,Anvone,0.3266,15,15,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,80,Neg,Relative1,18,Adj,Subject6,23,2298,Delta Anatis 2,0.2595,7,7,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,75,Neg,Relative1,13,Adj,Subject6,43,2742,Tholla D1,0.2417,5,5,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,63,Neg,Relative1,1,Adj,Subject6,27,4979,Stugvath,0.2758,9,9,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,78,Neg,Relative1,16,Adj,Subject6,27,2952,Delta Arboris 2,0.2918,11,11,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,68,Neg,Relative1,6,Adj,Subject6,38,3130,Cronoe SDRW,0.186,1,1,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,76,Neg,Relative1,14,Adj,Subject6,0,1677,Cara 80,0.38,19,19,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,70,Neg,Relative1,8,Adj,Subject6,0,5850,Vondara,0.3486,17,17,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,64,Neg,Relative1,2,Adj,Subject6,11,2099,Fankroth,0.3084,13,13,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,67,Neg,Relative1,5,Adj,Subject6,32,3059,Dagua 98,0.2202,3,3,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,152,Aff,MinMax2,10,aBitAdjAtAll,Subject6,0,8578,Dimavis,0,2,2,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,160,Aff,MinMax2,18,aBitAdjAtAll,Subject6,80,2015,Delta Anatis 2,0.5466,14,14,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,145,Aff,MinMax2,3,aBitAdjAtAll,Subject6,20,1672,Istieds,0.1223,4,4,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,157,Aff,MinMax2,15,aBitAdjAtAll,Subject6,68,2596,Beta Nivis 1,0.384,10,10,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,153,Aff,MinMax2,11,aBitAdjAtAll,Subject6,49,1348,Ocreilea,0.228,6,6,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,158,Aff,MinMax2,16,aBitAdjAtAll,Subject6,100,1999,Delta Arboris 2,1,18,19,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,149,Aff,MinMax2,7,aBitAdjAtAll,Subject6,31,2587,Core I9U,0.3088,8,8,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,159,Aff,MinMax2,17,aBitAdjAtAll,Subject6,61,1627,Beta Octopodis 4,0.4608,12,12,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,150,Aff,MinMax2,8,aBitAdjAtAll,Subject6,100,1723,Vondara,1,20,19,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,161,Aff,MinMax2,19,aBitAdjAtAll,Subject6,83,1821,Alpha Ovis 2,0.6573,16,16,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,45,Neg,Max1,3,Adj,Subject6,0,9340,Virtokh,1,17,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,50,Neg,Max1,8,Adj,Subject6,61,2145,Enrephus,0.4417,3,3,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,53,Neg,Max1,11,Adj,Subject6,82,1137,Ogawa,0.227,1,1,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,46,Neg,Max1,4,Adj,Subject6,15,1800,Hobbuna,0.8597,9,9,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,55,Neg,Max1,13,Adj,Subject6,42,3018,Hiphides,0.602,5,5,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,56,Neg,Max1,14,Adj,Subject6,1,2259,Alpha Nivis 2,1,19,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,57,Neg,Max1,15,Adj,Subject6,24,1560,Beta Arboris 4,0.7382,7,7,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,61,Neg,Max1,19,Adj,Subject6,0,6741,Beta Ovis 5,0.9709,11,11,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,58,Neg,Max1,16,Adj,Subject6,0,2718,Alpha Octopodis 2,1,13,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,54,Neg,Max1,12,Adj,Subject6,0,1056,Aolia,1,15,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,15,Neg,Min1,13,Adj,Subject6,86,9487,Dreron,0.0722,9,9,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,17,Neg,Min1,15,Adj,Subject6,68,1638,Beta Arboris 3,0.1828,13,13,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,4,Neg,Min1,2,Adj,Subject6,88,1713,Karath,0.1216,11,11,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,18,Neg,Min1,16,Adj,Subject6,100,2814,Alpha Octopodis 1,0,3,2.5,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,20,Neg,Min1,18,Adj,Subject6,24,1590,Nu Anatis 1,0.5059,19,19,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,16,Neg,Min1,14,Adj,Subject6,35,1654,Alpha Nivis 1,0.2595,15,15,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,5,Neg,Min1,3,Adj,Subject6,100,1938,Ghatek,0.0059,5,5,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,11,Neg,Min1,9,Adj,Subject6,36,1633,Mounov,0.3598,17,17,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,10,Neg,Min1,8,Adj,Subject6,88,2411,Bogophus,0.0334,7,7,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,13,Neg,Min1,11,Adj,Subject6,100,1221,Salrorix,0,1,2.5,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,107,Aff,Relative2,5,quiteAdj,Subject6,80,7997,Serth 0I96,0.5247,8,8,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,104,Aff,Relative2,2,quiteAdj,Subject6,99,1632,Karath,0.6295,16,16,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,109,Aff,Relative2,7,quiteAdj,Subject6,77,1642,Uzade,0.4971,6,6,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,108,Aff,Relative2,6,quiteAdj,Subject6,72,1770,Chypso 652,0.4645,4,4,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,105,Aff,Relative2,3,quiteAdj,Subject6,100,1342,Ghatek,0.7209,20,20,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,102,Aff,Relative2,0,quiteAdj,Subject6,77,3282,Zorkrax,0.5502,10,10,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,113,Aff,Relative2,11,quiteAdj,Subject6,86,1378,Salrorix,0.601,14,14,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,118,Aff,Relative2,16,quiteAdj,Subject6,50,1947,Alpha Octopodis 1,0.4196,2,2,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,114,Aff,Relative2,12,quiteAdj,Subject6,87,1611,Cigiri,0.6646,18,18,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,111,Aff,Relative2,9,quiteAdj,Subject6,80,1149,Mounov,0.5752,12,12,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,82,Neg,MinMax1,0,veryAdj,Subject6,0,8038,Scravvix,1,17,18.5,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,97,Neg,MinMax1,15,veryAdj,Subject6,0,1390,Alpha Nivis 3,1,19,18.5,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,98,Neg,MinMax1,16,veryAdj,Subject6,84,1820,Delta Arboris 1,0.3044,9,9,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,86,Neg,MinMax1,4,veryAdj,Subject6,100,1553,Gevaestea,0,3,3,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,92,Neg,MinMax1,10,veryAdj,Subject6,100,952,Sibiphus,0,5,3,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,93,Neg,MinMax1,11,veryAdj,Subject6,45,1652,Edreorus,0.5131,11,11,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,84,Neg,MinMax1,2,veryAdj,Subject6,100,1544,Uzil,0,1,3,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,96,Neg,MinMax1,14,veryAdj,Subject6,10,2650,Moitune,0.897,15,15,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,100,Neg,MinMax1,18,veryAdj,Subject6,84,1607,Beta Anatis 1,0.1142,7,7,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,90,Neg,MinMax1,8,veryAdj,Subject6,32,2541,Kuthides,0.718,13,13,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,40,Neg,Max2,18,extremelyAdj,Subject6,0,7493,Beta Anatis 1,1,19,17.5,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,23,Neg,Max2,1,extremelyAdj,Subject6,32,2304,Chelkot,0.7658,5,5,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,39,Neg,Max2,17,extremelyAdj,Subject6,50,3147,Beta Octopodis 1,0.6993,3,3,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,25,Neg,Max2,3,extremelyAdj,Subject6,82,2511,Scinkel,0.5824,1,1,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,30,Neg,Max2,8,extremelyAdj,Subject6,0,3977,Kuthides,0.9417,13,13,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,33,Neg,Max2,11,extremelyAdj,Subject6,20,1915,Edreorus,0.8163,7,7,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,28,Neg,Max2,6,extremelyAdj,Subject6,0,2004,Chogeshan,1,17,17.5,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,34,Neg,Max2,12,extremelyAdj,Subject6,25,1735,Phagus DBHJ,0.8595,9,9,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,32,Neg,Max2,10,extremelyAdj,Subject6,0,1703,Sibiphus,1,15,17.5,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,35,Neg,Max2,13,extremelyAdj,Subject6,29,2304,Iabos,0.8999,11,11,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,19,Aff,Min1,17,Adj,Subject6,0,9347,Gamma Octopodis 3,0,4,2.5,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,2,Aff,Min1,0,Adj,Subject6,23,4319,Zorkrax,0.1505,12,12,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,14,Aff,Min1,12,Adj,Subject6,0,2005,Cigiri,0,2,2.5,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,7,Aff,Min1,5,Adj,Subject6,3,1542,Serth 0I96,0.018,6,6,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,12,Aff,Min1,10,Adj,Subject6,14,1360,Zomia P,0.0955,10,10,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,8,Aff,Min1,6,Adj,Subject6,66,1667,Chypso 652,0.4243,18,18,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,21,Aff,Min1,19,Adj,Subject6,53,2005,Beta Ovis 4,0.2188,14,14,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,6,Aff,Min1,4,Adj,Subject6,65,2294,Ulnion,0.3059,16,16,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,9,Aff,Min1,7,Adj,Subject6,98,1699,Uzade,0.6215,20,20,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,3,Aff,Min1,1,Adj,Subject6,17,1736,Zolirs,0.0515,8,8,0.2,0,0.73,2.47,C,2,Min,0,0.6215
10,418463,6,72,Aff,Relative1,10,Adj,Subject6,45,8825,Dimavis,0.2509,6,6,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,66,Aff,Relative1,4,Adj,Subject6,64,1590,Azinides,0.3172,14,14,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,77,Aff,Relative1,15,Adj,Subject6,50,1662,Beta Nivis 1,0.2838,10,10,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,79,Aff,Relative1,17,Adj,Subject6,73,1869,Beta Octopodis 4,0.4065,20,20,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,69,Aff,Relative1,7,Adj,Subject6,54,1662,Core I9U,0.2999,12,12,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,81,Aff,Relative1,19,Adj,Subject6,43,2398,Alpha Ovis 2,0.2678,8,8,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,74,Aff,Relative1,12,Adj,Subject6,36,1506,Tholla D0,0.2061,2,2,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,62,Aff,Relative1,0,Adj,Subject6,62,1856,Eello,0.337,16,16,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,65,Aff,Relative1,3,Adj,Subject6,44,1970,Istieds,0.2317,4,4,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,73,Aff,Relative1,11,Adj,Subject6,66,2167,Ocreilea,0.3624,18,18,0,0,13.41,32.7,B,1,Relative,0.186,0.4065
10,418463,6,87,Aff,MinMax1,5,veryAdj,Subject6,100,9615,Milastea,1,20,18.5,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,91,Aff,MinMax1,9,veryAdj,Subject6,0,2195,Ophyria,0.0374,6,6,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,99,Aff,MinMax1,17,veryAdj,Subject6,100,2601,Beta Octopodis 1,1,18,18.5,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,101,Aff,MinMax1,19,veryAdj,Subject6,92,1565,Alpha Ovis 1,0.9663,16,16,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,88,Aff,MinMax1,6,veryAdj,Subject6,75,4038,Chogeshan,0.8124,14,14,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,83,Aff,MinMax1,1,veryAdj,Subject6,32,1854,Chelkot,0.408,10,10,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,95,Aff,MinMax1,13,veryAdj,Subject6,12,1897,Iabos,0.2053,8,8,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,85,Aff,MinMax1,3,veryAdj,Subject6,0,1243,Scinkel,0,2,3,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,94,Aff,MinMax1,12,veryAdj,Subject6,72,2390,Phagus DBHJ,0.6173,12,12,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,89,Aff,MinMax1,7,veryAdj,Subject6,2,2618,Xuagantu,0,4,3,0.25,0.2,0.75,0.72,A,4,MinMax,0,1
10,418463,6,37,Aff,Max2,15,extremelyAdj,Subject6,23,5793,Alpha Nivis 3,0.7355,4,4,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,24,Aff,Max2,2,extremelyAdj,Subject6,94,1731,Uzil,1,20,17.5,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,26,Aff,Max2,4,extremelyAdj,Subject6,80,1531,Gevaestea,0.8798,10,10,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,29,Aff,Max2,7,extremelyAdj,Subject6,93,1653,Xuagantu,0.9202,12,12,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,41,Aff,Max2,19,extremelyAdj,Subject6,100,1314,Alpha Ovis 1,1,18,17.5,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,36,Aff,Max2,14,extremelyAdj,Subject6,100,1086,Moitune,1,16,17.5,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,38,Aff,Max2,16,extremelyAdj,Subject6,65,2325,Delta Arboris 1,0.8385,8,8,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,31,Aff,Max2,9,extremelyAdj,Subject6,65,1828,Ophyria,0.7923,6,6,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,22,Aff,Max2,0,extremelyAdj,Subject6,32,1757,Scravvix,0.6527,2,2,0,0.3,6.95,1.73,A,7,Max,0.5824,1
10,418463,6,27,Aff,Max2,5,extremelyAdj,Subject6,91,1898,Milastea,0.967,14,14,0,0.3,6.95,1.73,A,7,Max,0.5824,1
11,418464,2,36,Aff,Min1,14,Adj,Subject2,2,9975,Alpha Nivis 1,0.0085,4,4,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,25,Aff,Min1,3,Adj,Subject2,36,4808,Ghatek,0.3505,16,16,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,33,Aff,Min1,11,Adj,Subject2,20,4083,Salrorix,0.262,14,14,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,26,Aff,Min1,4,Adj,Subject2,13,2379,Ulnion,0.1312,10,10,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,35,Aff,Min1,13,Adj,Subject2,98,2585,Dreron,0.6578,20,20,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,40,Aff,Min1,18,Adj,Subject2,63,4641,Nu Anatis 1,0.468,18,18,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,41,Aff,Min1,19,Adj,Subject2,8,3971,Beta Ovis 4,0.0814,8,8,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,28,Aff,Min1,6,Adj,Subject2,4,2915,Chypso 652,0.0402,6,6,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,24,Aff,Min1,2,Adj,Subject2,0,1845,Karath,0,2,2,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,31,Aff,Min1,9,Adj,Subject2,18,4609,Mounov,0.1906,12,12,0.15,0,0.79,2.39,C,6,Min,0,0.6578
11,418464,2,136,Aff,Max2,14,extremelyAdj,Subject2,13,11723,Alpha Nivis 2,0.4614,4,4,0,0.6,1.65,1.77,D,3,Max,0.1795,1
11,418464,2,128,Aff,Max2,6,extremelyAdj,Subject2,100,3304,Ungeron,1,10,14.5,0,0.6,1.65,1.77,D,3,Max,0.1795,1
